Mes,estacion,afluencia_predicha,delitos_con_violencia,delitos_sin_violencia
2025-11,ZAPOTITLÁN,54714.97812799142,0.0,0.0
2025-12,ZAPOTITLÁN,58822.37376462519,0.0,0.0
2026-01,ZAPOTITLÁN,80103.62745706091,0.0,0.0
2026-02,ZAPOTITLÁN,224816.367522684,0.0,0.0
2026-03,ZAPOTITLÁN,255570.29682218292,0.0,0.0
2026-04,ZAPOTITLÁN,172159.8321271083,0.0,0.0
2026-05,ZAPOTITLÁN,167672.1936888177,0.0,0.0
2026-06,ZAPOTITLÁN,211349.4443925575,0.0,0.0
2026-07,ZAPOTITLÁN,165817.71517982404,0.0,0.0
2026-08,ZAPOTITLÁN,225526.33476407948,0.0,0.0
2026-09,ZAPOTITLÁN,178366.32863454902,0.0,0.0
2026-10,ZAPOTITLÁN,190667.22727624333,0.0,0.0
2026-11,ZAPOTITLÁN,236499.53311042223,0.0,0.0
2026-12,ZAPOTITLÁN,155585.22699707237,0.0,0.0
2027-01,ZAPOTITLÁN,181425.2901524265,0.0,0.0
2027-02,ZAPOTITLÁN,268587.85176502203,0.0,0.0
2027-03,ZAPOTITLÁN,287520.87908770464,0.0,0.0
2027-04,ZAPOTITLÁN,102630.57735831912,0.0,0.0
2027-05,ZAPOTITLÁN,120459.96884784177,0.0,0.0
2027-06,ZAPOTITLÁN,96294.34834471042,0.0,0.0
2027-07,ZAPOTITLÁN,94598.28233937884,0.0,0.0
2027-08,ZAPOTITLÁN,130274.7153818962,0.0,0.0
2027-09,ZAPOTITLÁN,102865.99757458652,0.0,0.0
2027-10,ZAPOTITLÁN,110970.5044059754,0.0,0.0
2027-11,ZAPOTITLÁN,137504.46054524704,0.0,0.0
2027-12,ZAPOTITLÁN,88209.7668609892,0.0,0.0
2028-01,ZAPOTITLÁN,178028.42179192958,0.0,0.0
2028-02,ZAPOTITLÁN,234686.41338890497,0.0,0.0
2028-03,ZAPOTITLÁN,200352.65299621323,0.0,0.0
2028-04,ZAPOTITLÁN,128093.91023181044,0.0,0.0
2028-05,ZAPOTITLÁN,153964.40198889695,0.0,0.0
2028-06,ZAPOTITLÁN,123078.29322094037,0.0,0.0
2028-07,ZAPOTITLÁN,151464.48613189196,0.0,0.0
2028-08,ZAPOTITLÁN,135858.3717490891,0.0,0.0
2028-09,ZAPOTITLÁN,131399.54920126358,0.0,0.0
2028-10,ZAPOTITLÁN,177500.01150537317,0.0,0.0
2028-11,ZAPOTITLÁN,139708.49734366374,0.0,0.0
2028-12,ZAPOTITLÁN,112565.65773417984,0.0,0.0
2029-01,ZAPOTITLÁN,201477.65617658556,0.0,0.0
2029-02,ZAPOTITLÁN,241396.53550881703,0.0,0.0
2029-03,ZAPOTITLÁN,200757.85280486272,0.0,0.0
2029-04,ZAPOTITLÁN,125968.02060441115,0.0,0.0
2029-05,ZAPOTITLÁN,102623.61450600284,0.0,0.0
2029-06,ZAPOTITLÁN,99019.13177182902,0.0,0.0
2029-07,ZAPOTITLÁN,121648.20304889964,0.0,0.0
2029-08,ZAPOTITLÁN,110417.54828771256,0.0,0.0
2029-09,ZAPOTITLÁN,106440.77180454427,0.0,0.0
2029-10,ZAPOTITLÁN,144869.0120098227,0.0,0.0
2029-11,ZAPOTITLÁN,113851.43448201349,0.0,0.0
2029-12,ZAPOTITLÁN,112756.89368846633,0.0,0.0
2030-01,ZAPOTITLÁN,153559.36982502512,0.0,0.0
2030-02,ZAPOTITLÁN,227658.968370212,0.0,0.0
2030-03,ZAPOTITLÁN,190262.16196685564,0.0,0.0
2025-04,INSURGENTES SUR,484253.87758695753,0.0,0.0
2025-05,INSURGENTES SUR,519091.4987907334,0.0,0.0
2025-06,INSURGENTES SUR,668705.3629151627,0.0,0.0
2025-07,INSURGENTES SUR,558418.1258911416,0.0,0.0
2025-08,INSURGENTES SUR,592606.4610554059,0.0,0.0
2025-09,INSURGENTES SUR,757302.9589097826,0.0,0.0
2025-10,INSURGENTES SUR,621689.2942911813,0.0,0.0
2025-11,INSURGENTES SUR,647280.0240847914,0.0,0.0
2025-12,INSURGENTES SUR,665831.0952680006,0.0,0.0
2026-01,INSURGENTES SUR,669377.6686364401,0.0,0.0
2026-02,INSURGENTES SUR,727016.044315163,0.0,0.0
2026-03,INSURGENTES SUR,843998.9091447165,0.0,0.0
2026-04,INSURGENTES SUR,662833.8472323217,0.0,0.0
2026-05,INSURGENTES SUR,681731.5270865534,0.0,0.0
2026-06,INSURGENTES SUR,856790.3109203688,0.0,0.0
2026-07,INSURGENTES SUR,694817.2116523951,0.0,0.0
2026-08,INSURGENTES SUR,919354.2394520066,0.0,0.0
2026-09,INSURGENTES SUR,718918.0763201754,0.0,0.0
2026-10,INSURGENTES SUR,758521.2929491682,0.0,0.0
2026-11,INSURGENTES SUR,955332.4353478296,0.0,0.0
2026-12,INSURGENTES SUR,582166.7148536975,0.0,0.0
2027-01,INSURGENTES SUR,736676.3949979527,0.0,0.0
2027-02,INSURGENTES SUR,780315.7237128168,0.0,0.0
2027-03,INSURGENTES SUR,867747.533765469,0.0,0.0
2027-04,INSURGENTES SUR,548892.7878613176,0.0,0.0
2027-05,INSURGENTES SUR,723763.6287272022,0.0,0.0
2027-06,INSURGENTES SUR,586412.2689821777,0.0,0.0
2027-07,INSURGENTES SUR,604015.742680077,0.0,0.0
2027-08,INSURGENTES SUR,804690.6985776704,0.0,0.0
2027-09,INSURGENTES SUR,639446.2686666071,0.0,0.0
2027-10,INSURGENTES SUR,667482.3366084902,0.0,0.0
2027-11,INSURGENTES SUR,859518.15838618,0.0,0.0
2027-12,INSURGENTES SUR,518940.9764011939,0.0,0.0
2028-01,INSURGENTES SUR,848570.5560445108,0.0,0.0
2028-02,INSURGENTES SUR,763911.4055894129,0.0,0.0
2028-03,INSURGENTES SUR,641150.9146943,0.0,0.0
2028-04,INSURGENTES SUR,595422.9223381667,0.0,0.0
2028-05,INSURGENTES SUR,775030.6678514888,0.0,0.0
2028-06,INSURGENTES SUR,624466.0283298997,0.0,0.0
2028-07,INSURGENTES SUR,802587.8837022161,0.0,0.0
2028-08,INSURGENTES SUR,682887.3345945843,0.0,0.0
2028-09,INSURGENTES SUR,667067.2601230766,0.0,0.0
2028-10,INSURGENTES SUR,882374.3596504092,0.0,0.0
2028-11,INSURGENTES SUR,711184.863513527,0.0,0.0
2028-12,INSURGENTES SUR,537649.6987849202,0.0,0.0
2029-01,INSURGENTES SUR,862789.5298558475,0.0,0.0
2029-02,INSURGENTES SUR,774188.6892270806,0.0,0.0
2029-03,INSURGENTES SUR,636656.3375802508,0.0,0.0
2029-04,INSURGENTES SUR,693163.4720561326,0.0,0.0
2029-05,INSURGENTES SUR,587695.3185421574,0.0,0.0
2029-06,INSURGENTES SUR,587614.8411270785,0.0,0.0
2029-07,INSURGENTES SUR,759482.5837499945,0.0,0.0
2029-08,INSURGENTES SUR,647933.5932985947,0.0,0.0
2029-09,INSURGENTES SUR,635939.2810064447,0.0,0.0
2029-10,INSURGENTES SUR,839694.095655597,0.0,0.0
2029-11,INSURGENTES SUR,681407.1151396208,0.0,0.0
2029-12,INSURGENTES SUR,661063.7387102216,0.0,0.0
2030-01,INSURGENTES SUR,685366.7899732568,0.0,0.0
2030-02,INSURGENTES SUR,752575.1218051913,0.0,0.0
2030-03,INSURGENTES SUR,623146.3179209041,0.0,0.0
2025-04,TASQUEÑA,1048233.44488696,0.0,0.0
2025-05,TASQUEÑA,1281465.4087778395,0.0,0.0
2025-06,TASQUEÑA,1527589.1952334917,0.0,0.0
2025-07,TASQUEÑA,1145049.807182141,0.0,0.0
2025-08,TASQUEÑA,1240859.3874321117,0.0,0.0
2025-09,TASQUEÑA,1220543.899273791,0.0,0.0
2025-10,TASQUEÑA,1019455.0010079886,0.0,0.0
2025-11,TASQUEÑA,1049588.4483724448,0.0,0.0
2025-12,TASQUEÑA,1140889.5053798803,0.0,0.0
2026-01,TASQUEÑA,819529.0522599767,0.0,0.0
2026-02,TASQUEÑA,1039794.1779183182,0.0,0.0
2026-03,TASQUEÑA,1190537.075930828,0.0,0.0
2026-04,TASQUEÑA,1003115.8234996748,0.0,0.0
2026-05,TASQUEÑA,1142781.2402791758,0.0,0.0
2026-06,TASQUEÑA,1377302.020037439,0.0,0.0
2026-07,TASQUEÑA,1036573.434660289,0.0,0.0
2026-08,TASQUEÑA,1418868.7997357803,0.0,0.0
2026-09,TASQUEÑA,983935.052193082,0.0,0.0
2026-10,TASQUEÑA,1072318.12345728,0.0,0.0
2026-11,TASQUEÑA,1366349.421836498,0.0,0.0
2026-12,TASQUEÑA,884850.2765018754,0.0,0.0
2027-01,TASQUEÑA,868711.6330225668,0.0,0.0
2027-02,TASQUEÑA,1060413.816331634,0.0,0.0
2027-03,TASQUEÑA,1137668.4918175654,0.0,0.0
2027-04,TASQUEÑA,818305.324361097,0.0,0.0
2027-05,TASQUEÑA,1234111.9363430615,0.0,0.0
2027-06,TASQUEÑA,947021.0426996624,0.0,0.0
2027-07,TASQUEÑA,877745.4640002286,0.0,0.0
2027-08,TASQUEÑA,1205938.791183723,0.0,0.0
2027-09,TASQUEÑA,763442.5151522908,0.0,0.0
2027-10,TASQUEÑA,847327.105897921,0.0,0.0
2027-11,TASQUEÑA,1096300.8895365812,0.0,0.0
2027-12,TASQUEÑA,672544.3337536565,0.0,0.0
2028-01,TASQUEÑA,830985.3103035295,0.0,0.0
2028-02,TASQUEÑA,878686.0416013139,0.0,0.0
2028-03,TASQUEÑA,689412.4010529884,0.0,0.0
2028-04,TASQUEÑA,690780.9003017171,0.0,0.0
2028-05,TASQUEÑA,1055249.4533736573,0.0,0.0
2028-06,TASQUEÑA,807428.9004130631,0.0,0.0
2028-07,TASQUEÑA,930225.184391649,0.0,0.0
2028-08,TASQUEÑA,848458.4188348588,0.0,0.0
2028-09,TASQUEÑA,650550.790591623,0.0,0.0
2028-10,TASQUEÑA,930303.0066301244,0.0,0.0
2028-11,TASQUEÑA,758880.3668010755,0.0,0.0
2028-12,TASQUEÑA,556295.4025634412,0.0,0.0
2029-01,TASQUEÑA,689882.1928824638,0.0,0.0
2029-02,TASQUEÑA,762717.5120614076,0.0,0.0
2029-03,TASQUEÑA,559536.6165996882,0.0,0.0
2029-04,TASQUEÑA,707840.1220561643,0.0,0.0
2029-05,TASQUEÑA,706381.8267585066,0.0,0.0
2029-06,TASQUEÑA,661361.0672173051,0.0,0.0
2029-07,TASQUEÑA,746898.5298299418,0.0,0.0
2029-08,TASQUEÑA,699408.1849211352,0.0,0.0
2029-09,TASQUEÑA,493533.4934066064,0.0,0.0
2029-10,TASQUEÑA,733247.7943345808,0.0,0.0
2029-11,TASQUEÑA,602826.3771755781,0.0,0.0
2029-12,TASQUEÑA,466397.18141513807,0.0,0.0
2030-01,TASQUEÑA,427863.50667501113,0.0,0.0
2030-02,TASQUEÑA,606961.9691181389,0.0,0.0
2030-03,TASQUEÑA,409484.24236436654,0.0,0.0
2025-04,TEZOZÓMOC,118496.31655523815,0.0,0.0
2025-05,TEZOZÓMOC,124094.4952678005,0.0,0.0
2025-06,TEZOZÓMOC,146488.91648043727,0.0,0.0
2025-07,TEZOZÓMOC,108614.84947463192,0.0,0.0
2025-08,TEZOZÓMOC,115832.05938184912,0.0,0.0
2025-09,TEZOZÓMOC,160185.2341935783,0.0,0.0
2025-10,TEZOZÓMOC,126207.2301577487,0.0,0.0
2025-11,TEZOZÓMOC,122517.52466370827,0.0,0.0
2025-12,TEZOZÓMOC,129557.61107480116,0.0,0.0
2026-01,TEZOZÓMOC,119845.82970004145,0.0,0.0
2026-02,TEZOZÓMOC,127134.72163268011,0.0,0.0
2026-03,TEZOZÓMOC,141799.98117853276,0.0,0.0
2026-04,TEZOZÓMOC,116024.66979232818,0.0,0.0
2026-05,TEZOZÓMOC,119358.52812184348,0.0,0.0
2026-06,TEZOZÓMOC,140874.7519521449,0.0,0.0
2026-07,TEZOZÓMOC,100771.0566257489,0.0,0.0
2026-08,TEZOZÓMOC,140259.51483618072,0.0,0.0
2026-09,TEZOZÓMOC,115502.88399470098,0.0,0.0
2026-10,TEZOZÓMOC,119438.11882043452,0.0,0.0
2026-11,TEZOZÓMOC,145465.3370359591,0.0,0.0
2026-12,TEZOZÓMOC,89177.31659338949,0.0,0.0
2027-01,TEZOZÓMOC,106323.6746213572,0.0,0.0
2027-02,TEZOZÓMOC,114806.00471302032,0.0,0.0
2027-03,TEZOZÓMOC,123393.67121893934,0.0,0.0
2027-04,TEZOZÓMOC,95178.94363633815,0.0,0.0
2027-05,TEZOZÓMOC,123865.86369999306,0.0,0.0
2027-06,TEZOZÓMOC,92514.13658530128,0.0,0.0
2027-07,TEZOZÓMOC,83346.33070262222,0.0,0.0
2027-08,TEZOZÓMOC,117520.28693027656,0.0,0.0
2027-09,TEZOZÓMOC,100696.21769444644,0.0,0.0
2027-10,TEZOZÓMOC,101329.03218885083,0.0,0.0
2027-11,TEZOZÓMOC,121959.97409740464,0.0,0.0
2027-12,TEZOZÓMOC,73339.46371010934,0.0,0.0
2028-01,TEZOZÓMOC,113370.97533086195,0.0,0.0
2028-02,TEZOZÓMOC,106075.12699634364,0.0,0.0
2028-03,TEZOZÓMOC,80396.41026191626,0.0,0.0
2028-04,TEZOZÓMOC,86033.89145243191,0.0,0.0
2028-05,TEZOZÓMOC,111414.27066425288,0.0,0.0
2028-06,TEZOZÓMOC,82447.36434638759,0.0,0.0
2028-07,TEZOZÓMOC,89645.66943581127,0.0,0.0
2028-08,TEZOZÓMOC,86353.20806085438,0.0,0.0
2028-09,TEZOZÓMOC,87705.47240351728,0.0,0.0
2028-10,TEZOZÓMOC,113843.4373942496,0.0,0.0
2028-11,TEZOZÓMOC,85501.50919719857,0.0,0.0
2028-12,TEZOZÓMOC,61005.38141460152,0.0,0.0
2029-01,TEZOZÓMOC,96354.37463932084,0.0,0.0
2029-02,TEZOZÓMOC,93382.71914464972,0.0,0.0
2029-03,TEZOZÓMOC,65694.36637412438,0.0,0.0
2029-04,TEZOZÓMOC,86234.74915146935,0.0,0.0
2029-05,TEZOZÓMOC,74521.94985871523,0.0,0.0
2029-06,TEZOZÓMOC,66438.23898386402,0.0,0.0
2029-07,TEZOZÓMOC,70570.94950204596,0.0,0.0
2029-08,TEZOZÓMOC,70819.50885086271,0.0,0.0
2029-09,TEZOZÓMOC,73558.34266280847,0.0,0.0
2029-10,TEZOZÓMOC,94533.8037088287,0.0,0.0
2029-11,TEZOZÓMOC,69614.5210067254,0.0,0.0
2029-12,TEZOZÓMOC,62178.44942427102,0.0,0.0
2030-01,TEZOZÓMOC,63427.64018455934,0.0,0.0
2030-02,TEZOZÓMOC,79045.60714494006,0.0,0.0
2030-03,TEZOZÓMOC,52636.99718807585,0.0,0.0
2025-04,ATLALILCO,374583.069671678,0.0,0.0
2025-05,ATLALILCO,451811.696815465,0.0,0.0
2025-06,ATLALILCO,501403.03578081663,0.0,0.0
2025-07,ATLALILCO,176346.20253572555,0.0,0.0
2025-08,ATLALILCO,138838.26935920943,0.0,0.0
2025-09,ATLALILCO,188601.3536237642,0.0,0.0
2025-10,ATLALILCO,186579.38645666305,0.0,0.0
2025-11,ATLALILCO,193074.76541725293,0.0,0.0
2025-12,ATLALILCO,138305.43033743114,0.0,0.0
2026-01,ATLALILCO,230231.7818383581,0.0,0.0
2026-02,ATLALILCO,296594.93549987464,0.0,0.0
2026-03,ATLALILCO,299424.8878795335,0.0,0.0
2026-04,ATLALILCO,240456.09174914533,0.0,0.0
2026-05,ATLALILCO,263341.4805917516,0.0,0.0
2026-06,ATLALILCO,293680.192899371,0.0,0.0
2026-07,ATLALILCO,126262.50040237032,0.0,0.0
2026-08,ATLALILCO,171723.83096033288,0.0,0.0
2026-09,ATLALILCO,130723.14720263716,0.0,0.0
2026-10,ATLALILCO,164647.9982144587,0.0,0.0
2026-11,ATLALILCO,199839.62482812005,0.0,0.0
2026-12,ATLALILCO,51832.70424207804,0.0,0.0
2027-01,ATLALILCO,139993.28888095394,0.0,0.0
2027-02,ATLALILCO,185777.95580847803,0.0,0.0
2027-03,ATLALILCO,126370.78443913336,0.0,0.0
2027-04,ATLALILCO,-26109.368630668727,0.0,0.0
2027-05,ATLALILCO,18900.81568620073,0.0,0.0
2027-06,ATLALILCO,-5632.051701926639,0.0,0.0
2027-07,ATLALILCO,-190172.5035892892,0.0,0.0
2027-08,ATLALILCO,-256668.32893341777,0.0,0.0
2027-09,ATLALILCO,-204900.25965579963,0.0,0.0
2027-10,ATLALILCO,-168492.0072444304,0.0,0.0
2027-11,ATLALILCO,-208685.2983673681,0.0,0.0
2027-12,ATLALILCO,-271191.0570164217,0.0,0.0
2028-01,ATLALILCO,-189023.07432992745,0.0,0.0
2028-02,ATLALILCO,-78498.88380151254,0.0,0.0
2028-03,ATLALILCO,-183346.4430115937,0.0,0.0
2028-04,ATLALILCO,-214088.56955342845,0.0,0.0
2028-05,ATLALILCO,-236381.7628425451,0.0,0.0
2028-06,ATLALILCO,-206543.4158755566,0.0,0.0
2028-07,ATLALILCO,-441399.6326339586,0.0,0.0
2028-08,ATLALILCO,-342321.8340153847,0.0,0.0
2028-09,ATLALILCO,-351901.90179921273,0.0,0.0
2028-10,ATLALILCO,-393371.2511097565,0.0,0.0
2028-11,ATLALILCO,-322563.0936864784,0.0,0.0
2028-12,ATLALILCO,-425669.0685640449,0.0,0.0
2029-01,ATLALILCO,-407427.0489971774,0.0,0.0
2029-02,ATLALILCO,-256290.55473273536,0.0,0.0
2029-03,ATLALILCO,-376322.3873216501,0.0,0.0
2029-04,ATLALILCO,-554587.6360879185,0.0,0.0
2029-05,ATLALILCO,-411705.9995492718,0.0,0.0
2029-06,ATLALILCO,-433480.40114579326,0.0,0.0
2029-07,ATLALILCO,-758885.7874340033,0.0,0.0
2029-08,ATLALILCO,-603783.3563751106,0.0,0.0
2029-09,ATLALILCO,-610827.8024067348,0.0,0.0
2029-10,ATLALILCO,-715492.629192678,0.0,0.0
2029-11,ATLALILCO,-578275.9727664896,0.0,0.0
2029-12,ATLALILCO,-838718.632747592,0.0,0.0
2030-01,ATLALILCO,-551962.7033924996,0.0,0.0
2030-02,ATLALILCO,-496946.2883456336,0.0,0.0
2030-03,ATLALILCO,-607968.0868019024,0.0,0.0
2025-04,SAN LÁZARO,343854.5473865849,0.0,0.0
2025-05,SAN LÁZARO,321703.2963472487,0.0,0.0
2025-06,SAN LÁZARO,398369.8230118585,0.0,0.0
2025-07,SAN LÁZARO,302716.2290624541,0.0,0.0
2025-08,SAN LÁZARO,341806.4792433293,0.0,0.0
2025-09,SAN LÁZARO,401188.5481863343,0.0,0.0
2025-10,SAN LÁZARO,346855.39006546873,0.0,0.0
2025-11,SAN LÁZARO,438082.64731574286,0.0,0.0
2025-12,SAN LÁZARO,597559.1125744238,0.0,0.0
2026-01,SAN LÁZARO,389567.8129400088,0.0,0.0
2026-02,SAN LÁZARO,427032.7062241853,0.0,0.0
2026-03,SAN LÁZARO,522098.11081965576,0.0,0.0
