Mes,Estacion,afluencia_predicha,delitos_con_violencia,delitos_sin_violencia
2026-03-01,Chapultepec,28881.264909517777,0,1
2025-04-01,Chilpancingo,1185722.9033745194,12,54
2025-05-01,Chilpancingo,1267378.7248347208,37,45
2025-06-01,Chilpancingo,1181613.77819763,31,25
2025-07-01,Chilpancingo,1200181.5298831994,28,53
2025-08-01,Chilpancingo,1223009.4807460906,22,46
2025-09-01,Chilpancingo,1230163.3832133322,16,28
2025-10-01,Chilpancingo,1354342.557237883,17,30
2025-11-01,Chilpancingo,1307949.2905575575,19,61
2025-12-01,Chilpancingo,1217730.4882741757,25,48
2026-01-01,Chilpancingo,1242978.7056970436,30,55
2026-02-01,Chilpancingo,1228279.086376944,28,56
2026-03-01,Chilpancingo,1289515.3775908165,20,47
2025-04-01,Ciudad Azteca,1276302.8659178908,37,45
2025-05-01,Ciudad Azteca,1356309.640042748,33,44
2025-06-01,Ciudad Azteca,1320746.2778176924,27,38
2025-07-01,Ciudad Azteca,1302584.6131539869,28,43
2025-08-01,Ciudad Azteca,1358377.5373125344,24,58
2025-09-01,Ciudad Azteca,1391491.869789852,20,52
2025-10-01,Ciudad Azteca,1340254.8233585134,22,62
2025-11-01,Ciudad Azteca,1280167.1847486554,32,42
2025-12-01,Ciudad Azteca,1403201.9823579623,14,53
2026-01-01,Ciudad Azteca,1386596.6956000824,17,53
2026-02-01,Ciudad Azteca,1354854.3979487848,14,51
2026-03-01,Ciudad Azteca,1426872.0841840168,15,58
2025-04-01,Ciudad Deportiva,141387.7893655708,3,3
2025-05-01,Ciudad Deportiva,154072.61788718883,3,5
2025-06-01,Ciudad Deportiva,130684.38827891192,2,3
2025-07-01,Ciudad Deportiva,121619.3878652048,1,3
2025-08-01,Ciudad Deportiva,183544.43799523896,3,6
2025-09-01,Ciudad Deportiva,184086.7067448348,3,7
2025-10-01,Ciudad Deportiva,259021.6169113512,3,12
2025-11-01,Ciudad Deportiva,212052.64420424224,3,8
2025-12-01,Ciudad Deportiva,163123.45379287485,2,6
2026-01-01,Ciudad Deportiva,88477.63282777125,1,3
2026-02-01,Ciudad Deportiva,91242.12787011795,2,3
2026-03-01,Ciudad Deportiva,111715.7157974494,1,2
2025-04-01,Colegio Militar,439489.96666903415,7,12
2025-05-01,Colegio Militar,467737.5701169637,10,14
2025-06-01,Colegio Militar,433581.27886751416,8,14
2025-07-01,Colegio Militar,369146.5723794875,10,7
2025-08-01,Colegio Militar,393180.7128469953,9,9
2025-09-01,Colegio Militar,464740.2192722978,6,13
2025-10-01,Colegio Militar,501120.35083566414,5,24
2025-11-01,Colegio Militar,480805.4841961587,10,14
2025-12-01,Colegio Militar,402114.3178307905,4,13
2026-01-01,Colegio Militar,390661.9011610926,8,10
2026-02-01,Colegio Militar,420803.07301801024,12,16
2026-03-01,Colegio Militar,491205.12218532286,10,13
2025-04-01,Constitución de 1917,2669461.5728749684,47,69
2025-05-01,Constitución de 1917,2836769.8181476514,64,100
2025-06-01,Constitución de 1917,2860788.8973959703,54,57
2025-07-01,Constitución de 1917,2753024.499841704,57,55
2025-08-01,Constitución de 1917,2755749.466434657,79,73
2025-09-01,Constitución de 1917,2724503.4286968224,48,57
2025-10-01,Constitución de 1917,2759673.0517298235,80,64
2025-11-01,Constitución de 1917,2722389.4577901,76,82
2025-12-01,Constitución de 1917,2861847.6256682603,39,126
2026-01-01,Constitución de 1917,3186135.1113474914,36,118
2026-02-01,Constitución de 1917,3175024.7773320726,38,112
2026-03-01,Constitución de 1917,3352831.218720239,34,96
2025-04-01,Constituyentes,419194.28962112905,4,20
2025-05-01,Constituyentes,415949.2453255528,9,13
2025-06-01,Constituyentes,396573.2524267563,4,8
2025-07-01,Constituyentes,400344.1449369524,6,15
2025-08-01,Constituyentes,411713.54668608063,11,9
2025-09-01,Constituyentes,422726.7701630807,4,12
2025-10-01,Constituyentes,511515.9118055868,13,18
2025-11-01,Constituyentes,494224.05956196354,7,22
2025-12-01,Constituyentes,465893.1487113398,5,16
2026-01-01,Constituyentes,743766.2072602286,17,30
2026-02-01,Constituyentes,550712.3761194394,12,27
2026-03-01,Constituyentes,566223.7618910001,15,13
2025-04-01,Consulado,214495.6901157513,5,6
2025-05-01,Consulado,226261.62594897585,5,7
2025-06-01,Consulado,220569.9420600276,3,7
2025-07-01,Consulado,218114.5999788017,2,7
2025-08-01,Consulado,237991.7846053237,5,11
2025-09-01,Consulado,230376.95519708024,6,9
2025-10-01,Consulado,233147.495304694,6,8
2025-11-01,Consulado,227396.3669037817,4,6
2025-12-01,Consulado,229139.75235282644,3,10
2026-01-01,Consulado,216566.0929309069,5,10
2026-02-01,Consulado,209945.23895035533,3,9
2026-03-01,Consulado,229183.6701478978,6,4
2025-04-01,Copilco,1093295.0005476235,29,42
2025-05-01,Copilco,1131130.0038487485,21,24
2025-06-01,Copilco,887764.847658574,22,24
2025-07-01,Copilco,801816.8321419512,20,17
2025-08-01,Copilco,1243582.469339394,15,47
2025-09-01,Copilco,1173094.681250901,32,47
2025-10-01,Copilco,1243393.225468356,24,29
2025-11-01,Copilco,1147071.8419874415,30,36
2025-12-01,Copilco,859379.5780877586,14,28
2026-01-01,Copilco,938269.749425076,26,29
2026-02-01,Copilco,1172716.8724744427,20,27
2026-03-01,Copilco,1201791.7588654135,12,39
2025-04-01,Coyoacán,767376.1812183183,21,32
2025-05-01,Coyoacán,764998.9108563309,9,16
2025-06-01,Coyoacán,756868.4722787141,12,16
2025-07-01,Coyoacán,750760.0238292809,21,23
2025-08-01,Coyoacán,747893.4621692292,21,36
2025-09-01,Coyoacán,742951.0912112431,15,29
2025-10-01,Coyoacán,747483.019225038,16,30
2025-11-01,Coyoacán,745668.5325280187,14,23
2025-12-01,Coyoacán,740909.8630883701,11,28
2026-01-01,Coyoacán,790077.0600279559,13,16
2026-02-01,Coyoacán,786915.0185462506,18,30
2026-03-01,Coyoacán,790869.6921142843,19,37
2025-04-01,Coyuya,707569.1689239417,18,27
2025-05-01,Coyuya,764893.6266175096,19,35
2025-06-01,Coyuya,744418.5345673993,8,31
2025-07-01,Coyuya,719263.7388944216,14,16
2025-08-01,Coyuya,753145.3836744657,8,35
2025-09-01,Coyuya,772475.8012718182,16,16
2025-10-01,Coyuya,790885.9218486969,14,28
